Invoice No.,Invoice Date,Invoice Total ($),Discount ($),Net Amount ($),Payment No,Payment Date,PO No.,RA No.,GST $,HST $,QST $
'FD005910394102,07/25/2025,-135.140,0.00,-135.140,004 00022080362026,12/26/2025,'005910394102,'30000177,0.00,0.00,0.00
'RV011860393794,07/25/2025,-2238.930,0.00,-2238.930,004 00033184902025,08/05/2025,'011860393794,'393794,-106.620,0.00,0.00
'RV000540875900,07/24/2025,-2238.930,0.00,-2238.930,004 00033184902025,08/05/2025,'000540875900,'875900,-106.620,0.00,0.00
'RV001510793754,07/24/2025,-2409.510,0.00,-2409.510,004 00033184902025,08/05/2025,'001510793754,'793754,0.00,-277.200,0.00
'RV005420586716,07/24/2025,-3924.080,0.00,-3924.080,004 00033184902025,08/05/2025,'005420586716,'586716,-186.870,0.00,0.00
'RV005190610800,07/24/2025,-2430.830,0.00,-2430.830,004 00033184902025,08/05/2025,'005190610800,'610800,0.00,-298.520,0.00
'RV001510793889,07/24/2025,-2409.510,0.00,-2409.510,004 00033184902025,08/05/2025,'001510793889,'793889,0.00,-277.200,0.00
'RV005910394102,07/24/2025,-2409.510,0.00,-2409.510,004 00033184902025,08/05/2025,'005910394102,'394102,0.00,-277.200,0.00
'RV005480799902,07/24/2025,-2238.930,0.00,-2238.930,004 00033184902025,08/05/2025,'005480799902,'799902,-106.620,0.00,0.00
'RV005250573788,07/24/2025,-2238.930,0.00,-2238.930,004 00033184902025,08/05/2025,'005250573788,'573788,-106.620,0.00,0.00
'RV008941122039,07/23/2025,-2238.930,0.00,-2238.930,004 00033184902025,08/05/2025,'008941122039,'4004100918,-106.620,0.00,0.00
'RV008941122040,07/23/2025,-2238.930,0.00,-2238.930,004 00033184902025,08/05/2025,'008941122040,'4004167055,-106.620,0.00,0.00
'RV008941122041,07/23/2025,-2238.930,0.00,-2238.930,004 00033184902025,08/05/2025,'008941122041,'4004450895,-106.620,0.00,0.00
'INV-31001,07/22/2025,3202.50,0.00,3202.50,004 00015022612026,09/02/2025,'008944623013,,152.50,0.00,0.00
'RV000570409235,07/22/2025,-1685.150,0.00,-1685.150,004 00033184902025,08/05/2025,'000570409235,'409235,-80.250,0.00,0.00
'RV000570409230,07/22/2025,-1685.150,0.00,-1685.150,004 00033184902025,08/05/2025,'000570409230,'409230,-80.250,0.00,0.00
'INV-30998,07/22/2025,2151.45,0.00,2151.45,004 00015022612026,09/02/2025,'008944615761,,102.45,0.00,0.00
'FD001530570986,07/22/2025,-85.280,0.00,-85.280,004 00033184902025,08/05/2025,'001530570986,,-4.060,0.00,0.00
'FD010760656738,07/22/2025,-130.620,0.00,-130.620,004 00015022612026,09/02/2025,'010760656738,'30000177,0.00,0.00,0.00
'INV-31009,07/22/2025,1723.25,0.00,1723.25,004 00015022612026,09/02/2025,'008944626362,,0.00,198.25,0.00
'INV-31000,07/22/2025,1723.25,0.00,1723.25,004 00015022612026,09/02/2025,'008944621724,,0.00,198.25,0.00
'INV-31049,07/22/2025,1601.25,0.00,1601.25,004 00015022612026,09/02/2025,'008944633078,,76.25,0.00,0.00
'INV-30997,07/22/2025,2151.45,0.00,2151.45,004 00015022612026,09/02/2025,'008944614093,,102.45,0.00,0.00
'RV002580868140,07/22/2025,-2238.930,0.00,-2238.930,004 00033184902025,08/05/2025,'002580868140,'868140,-106.620,0.00,0.00
'INV-30995,07/22/2025,2315.37,0.00,2315.37,004 00015022612026,09/02/2025,'008944604685,,0.00,266.37,0.00
'INV-31050,07/22/2025,4712.70,0.00,4712.70,004 00015022612026,09/02/2025,'008944636285,,0.00,614.70,0.00
'RV001530570986,07/22/2025,-2238.930,0.00,-2238.930,004 00033184902025,08/05/2025,'001530570986,'570986,-106.620,0.00,0.00
'RV010760656738,07/22/2025,-2238.930,0.00,-2238.930,004 00033184902025,08/05/2025,'010760656738,'656738,-106.620,0.00,0.00
'FD002580868140,07/22/2025,-121.570,0.00,-121.570,004 00033184902025,08/05/2025,'002580868140,,-5.790,0.00,0.00
'FD000570409235,07/22/2025,-74.680,0.00,-74.680,004 00033184902025,08/05/2025,'000570409235,,-3.550,0.00,0.00
'FD000570409230,07/22/2025,-74.700,0.00,-74.700,004 00033184902025,08/05/2025,'000570409230,,-3.560,0.00,0.00
'RV005050709630,07/21/2025,-2238.930,0.00,-2238.930,004 00032467732025,07/22/2025,'005050709630,'709630,-106.620,0.00,0.00
'FD002560660597,07/21/2025,-87.360,0.00,-87.360,004 00033184902025,08/05/2025,'002560660597,,-4.160,0.00,0.00
'RV005410693764,07/21/2025,-2238.930,0.00,-2238.930,004 00032467732025,07/22/2025,'005410693764,'693764,-106.620,0.00,0.00
'INV-30944,07/21/2025,1601.25,0.00,1601.25,004 00015022612026,09/02/2025,'008944584641,,76.25,0.00,0.00
'0134140041,07/18/2025,3000.00,0.00,3000.00,004 00032467732025,07/22/2025,'3/17/2025,'Email,0.00,0.00,0.00
'RV002560660597,07/18/2025,-2238.930,0.00,-2238.930,004 00032467732025,07/22/2025,'002560660597,'660597,-106.620,0.00,0.00
'RV005490562233,07/18/2025,-2238.930,0.00,-2238.930,004 00032467732025,07/22/2025,'005490562233,'562233,-106.620,0.00,0.00
'FD005490562233,07/18/2025,-100.380,0.00,-100.380,004 00033184902025,08/05/2025,'005490562233,,-4.780,0.00,0.00
'RV005270661256,07/18/2025,-2238.930,0.00,-2238.930,004 00032467732025,07/22/2025,'005270661256,'661256,-106.620,0.00,0.00
'RV000510535317,07/17/2025,-2238.930,0.00,-2238.930,004 00032467732025,07/22/2025,'000510535317,'535317,-106.620,0.00,0.00
'FD005330513529,07/17/2025,-292.810,0.00,-292.810,004 00033184902025,08/05/2025,'005330513529,,-13.940,0.00,0.00
'RV000510535915,07/17/2025,-2238.930,0.00,-2238.930,004 00032467732025,07/22/2025,'000510535915,'535915,-106.620,0.00,0.00
'INV-30910,07/17/2025,1601.25,0.00,1601.25,004 00034077062025,08/21/2025,'008944573148,,76.25,0.00,0.00
'INV-30871,07/17/2025,3202.50,0.00,3202.50,004 00034077062025,08/21/2025,'008944561393,,152.50,0.00,0.00
'INV-30845,07/17/2025,1723.25,0.00,1723.25,004 00034077062025,08/21/2025,'008944553703,,0.00,198.25,0.00
'INV-30885,07/17/2025,1723.25,0.00,1723.25,004 00034077062025,08/21/2025,'008944565166,,0.00,198.25,0.00
'RV002550704631,07/17/2025,-2238.930,0.00,-2238.930,004 00032467732025,07/22/2025,'002550704631,'704631,-106.620,0.00,0.00
'RV000550814216,07/17/2025,-2238.930,0.00,-2238.930,004 00032467732025,07/22/2025,'000550814216,'814216,-106.620,0.00,0.00
'INV-30886,07/17/2025,1601.25,0.00,1601.25,004 00034077062025,08/21/2025,'008944566185,,76.25,0.00,0.00
'RV002540277505,07/17/2025,-2238.930,0.00,-2238.930,004 00032467732025,07/22/2025,'002540277505,'277505,-106.620,0.00,0.00
'RV005330513529,07/17/2025,-2238.930,0.00,-2238.930,004 00032467732025,07/22/2025,'005330513529,'513529,-106.620,0.00,0.00
'INV-30887,07/17/2025,3202.50,0.00,3202.50,004 00034077062025,08/21/2025,'008944568807,,152.50,0.00,0.00
'RV008941119333,07/16/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'008941119333,'4004160472,-80.250,0.00,0.00
'FD005910391931,07/16/2025,-134.580,0.00,-134.580,004 00033184902025,08/05/2025,'005910391931,,-6.410,0.00,0.00
'FD013670317435,07/15/2025,-184.190,0.00,-184.190,004 00015022612026,09/02/2025,'013670317435,'30000177,0.00,0.00,0.00
'RV005910391931,07/15/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005910391931,'391931,-106.620,0.00,0.00
'RV005400835319,07/15/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005400835319,'835319,-106.620,0.00,0.00
'RV013670317435,07/15/2025,-3370.290,0.00,-3370.290,004 00032234342025,07/17/2025,'013670317435,'317435,-160.490,0.00,0.00
'RV005351023976,07/15/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005351023976,'1023976,-106.620,0.00,0.00
'INV-30804,07/14/2025,2151.45,0.00,2151.45,004 00033862032025,08/18/2025,'008944533179,,102.45,0.00,0.00
'INV-30805,07/14/2025,2151.45,0.00,2151.45,004 00033862032025,08/18/2025,'008944537439,,102.45,0.00,0.00
'INV-30800,07/14/2025,2151.45,0.00,2151.45,004 00033862032025,08/18/2025,'008944518747,,102.45,0.00,0.00
'INV-30796,07/14/2025,2151.45,0.00,2151.45,004 00033862032025,08/18/2025,'008944505754,,102.45,0.00,0.00
'INV-30799,07/14/2025,2151.45,0.00,2151.45,004 00033862032025,08/18/2025,'008944518408,,102.45,0.00,0.00
'6517993702,07/14/2025,-33000.0,0.00,-33000.0,004 00032234342025,07/17/2025,'0005568960,,0.00,0.00,0.00
'INV-30747,07/11/2025,2151.45,0.00,2151.45,004 00033862032025,08/18/2025,'008944484827,,102.45,0.00,0.00
'INV-30760,07/11/2025,2315.37,0.00,2315.37,004 00033862032025,08/18/2025,'008944487721,,0.00,266.37,0.00
'FD010550383067,07/11/2025,-453.320,0.00,-453.320,004 00033184902025,08/05/2025,'010550383067,,-21.590,0.00,0.00
'RV001540457583,07/11/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'001540457583,'457583,-80.250,0.00,0.00
'RV013810516929,07/11/2025,-1805.230,0.00,-1805.230,004 00032234342025,07/17/2025,'013810516929,'516929,-80.250,0.00,0.00
'RV008941114832,07/11/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'008941114832,'4004170879,-80.250,0.00,0.00
'RV008941114831,07/11/2025,-1813.540,0.00,-1813.540,004 00032234342025,07/17/2025,'008941114831,'4003966783,0.00,-208.640,0.00
'RV005400833519,07/11/2025,-2409.510,0.00,-2409.510,004 00032234342025,07/17/2025,'005400833519,'833519,0.00,-277.200,0.00
'RV013620669647,07/11/2025,-2409.510,0.00,-2409.510,004 00032234342025,07/17/2025,'013620669647,'669647,0.00,-277.200,0.00
'FD001540457583,07/11/2025,-85.430,0.00,-85.430,004 00032234342025,07/17/2025,'001540457583,,-4.070,0.00,0.00
'RV005430728644,07/10/2025,-1808.580,0.00,-1808.580,004 00032234342025,07/17/2025,'005430728644,'728644,-80.250,0.00,0.00
'RV005210520916,07/10/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005210520916,'520916,-106.620,0.00,0.00
'INV-30695,07/09/2025,4302.90,0.00,4302.90,004 00033635072025,08/13/2025,'008944468812,,204.90,0.00,0.00
'RV005520517318,07/09/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005520517318,'517318,-106.620,0.00,0.00
'INV-30694,07/09/2025,2151.45,0.00,2151.45,004 00033635072025,08/13/2025,'008944466835,,102.45,0.00,0.00
'RV005480792020,07/09/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005480792020,'792020,-106.620,0.00,0.00
'RV005480792361,07/09/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005480792361,'792361,-106.620,0.00,0.00
'RV005310978864,07/09/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005310978864,'978864,-106.620,0.00,0.00
'INV-30691,07/09/2025,2315.37,0.00,2315.37,004 00033635072025,08/13/2025,'008944466566,,0.00,266.37,0.00
'FD011570512969,07/09/2025,-183.380,0.00,-183.380,004 00018072482026,10/24/2025,'011570512969,'30000177,0.00,0.00,0.00
'INV-30698,07/09/2025,2315.37,0.00,2315.37,004 00033635072025,08/13/2025,'008944464381,,0.00,266.37,0.00
'INV-30679,07/09/2025,2151.45,0.00,2151.45,004 00033635072025,08/13/2025,'008944462463,,102.45,0.00,0.00
'INV-30692,07/09/2025,2151.45,0.00,2151.45,004 00033635072025,08/13/2025,'008944466679,,102.45,0.00,0.00
'INV-30696,07/09/2025,2151.45,0.00,2151.45,004 00033635072025,08/13/2025,'008944470414,,102.45,0.00,0.00
'INV-30672,07/09/2025,2151.45,0.00,2151.45,004 00033635072025,08/13/2025,'008944461555,,102.45,0.00,0.00
'INV-30690,07/09/2025,2151.45,0.00,2151.45,004 00033635072025,08/13/2025,'008944466215,,102.45,0.00,0.00
'INV-30669,07/09/2025,2151.45,0.00,2151.45,004 00033635072025,08/13/2025,'008944460711,,102.45,0.00,0.00
'INV-30693,07/09/2025,2151.45,0.00,2151.45,004 00033635072025,08/13/2025,'008944466717,,102.45,0.00,0.00
'INV-30670,07/09/2025,2151.45,0.00,2151.45,004 00033635072025,08/13/2025,'008944461092,,102.45,0.00,0.00
'INV-30689,07/09/2025,2151.45,0.00,2151.45,004 00033635072025,08/13/2025,'008944465113,,102.45,0.00,0.00
'INV-30678,07/09/2025,2151.45,0.00,2151.45,004 00033635072025,08/13/2025,'008944462355,,102.45,0.00,0.00
'RV000510531905,07/09/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'000510531905,'531905,-106.620,0.00,0.00
'RV011570512969,07/09/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'011570512969,'512969,-106.620,0.00,0.00
'INV-30688,07/09/2025,2315.37,0.00,2315.37,004 00033635072025,08/13/2025,'008944465008,,0.00,266.37,0.00
'INV-30656,07/09/2025,2315.37,0.00,2315.37,004 00033635072025,08/13/2025,'008944458450,,0.00,266.37,0.00
'INV-30644,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944456187,,0.00,266.37,0.00
'INV-30643,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944454795,,0.00,266.37,0.00
'INV-30547,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944413026,,0.00,266.37,0.00
'INV-30572,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944438852,,0.00,266.37,0.00
'INV-30549,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944417234,,0.00,266.37,0.00
'INV-30555,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944420898,,0.00,266.37,0.00
'INV-30640,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944452363,,0.00,266.37,0.00
'INV-30656,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944458450,,0.00,266.37,0.00
'INV-30665,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944460073,,0.00,266.37,0.00
'INV-30636,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944450844,,0.00,266.37,0.00
'INV-30526,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944409970,,0.00,266.37,0.00
'INV-30620,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944447455,,0.00,266.37,0.00
'INV-30571,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944438439,,0.00,266.37,0.00
'FD005440606848,07/08/2025,-85.430,0.00,-85.430,004 00032234342025,07/17/2025,'005440606848,,-4.070,0.00,0.00
'RV008941113023,07/08/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'008941113023,'8948497211,-80.250,0.00,0.00
'RV010550383067,07/08/2025,-2452.160,0.00,-2452.160,004 00032234342025,07/17/2025,'010550383067,'383067,0.00,-319.850,0.00
'RV005400832028,07/08/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'005400832028,'832028,-80.250,0.00,0.00
'INV-30647,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944456805,,102.45,0.00,0.00
'INV-30628,07/08/2025,4302.90,0.00,4302.90,004 00033566192025,08/12/2025,'008944449122,,204.90,0.00,0.00
'INV-30638,07/08/2025,2356.35,0.00,2356.35,004 00033566192025,08/12/2025,'008944451034,,0.00,307.35,0.00
'INV-30514,07/08/2025,4302.90,0.00,4302.90,004 00033566192025,08/12/2025,'008944408469,,204.90,0.00,0.00
'INV-30550,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944417375,,102.45,0.00,0.00
'INV-30666,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944460065,,102.45,0.00,0.00
'INV-30637,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944450895,,102.45,0.00,0.00
'INV-30642,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944454657,,102.45,0.00,0.00
'INV-30618,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944446516,,102.45,0.00,0.00
'INV-30568,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944430793,,102.45,0.00,0.00
'INV-30631,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944449348,,102.45,0.00,0.00
'INV-30563,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944429952,,102.45,0.00,0.00
'INV-30557,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944421648,,102.45,0.00,0.00
'INV-30551,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944418503,,102.45,0.00,0.00
'INV-30546,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944412355,,102.45,0.00,0.00
'INV-30597,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944443744,,102.45,0.00,0.00
'INV-30623,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944448415,,102.45,0.00,0.00
'INV-30639,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944451656,,102.45,0.00,0.00
'RV005440606848,07/08/2025,-3370.300,0.00,-3370.300,004 00032234342025,07/17/2025,'005440606848,'606848,-160.500,0.00,0.00
'INV-30573,07/08/2025,2315.37,0.00,2315.37,004 00033566192025,08/12/2025,'008944441629,,0.00,266.37,0.00
'INV-30560,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944425357,,102.45,0.00,0.00
'INV-30626,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944448539,,102.45,0.00,0.00
'INV-30548,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944413786,,102.45,0.00,0.00
'INV-30565,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944430385,,102.45,0.00,0.00
'INV-30582,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944442384,,102.45,0.00,0.00
'INV-30646,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944456700,,102.45,0.00,0.00
'INV-30562,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944428697,,102.45,0.00,0.00
'INV-30561,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944428678,,102.45,0.00,0.00
'RV011050666112,07/08/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'011050666112,'07082025,-80.250,0.00,0.00
'INV-30564,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944429921,,102.45,0.00,0.00
'INV-30663,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944459778,,102.45,0.00,0.00
'INV-30604,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944445440,,102.45,0.00,0.00
'INV-30556,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944421567,,102.45,0.00,0.00
'INV-30569,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944436599,,102.45,0.00,0.00
'INV-30630,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944449280,,102.45,0.00,0.00
'INV-30559,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944423546,,102.45,0.00,0.00
'INV-30520,07/08/2025,2151.45,0.00,2151.45,004 00033566192025,08/12/2025,'008944409738,,102.45,0.00,0.00
'6517987832,07/07/2025,-33500.0,0.00,-33500.0,004 00032234342025,07/17/2025,'0005568960,,0.00,0.00,0.00
'FD010920310946,07/07/2025,-208.490,0.00,-208.490,004 00032234342025,07/17/2025,'010920310946,,-9.930,0.00,0.00
'RV013620667451,07/07/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'013620667451,'667451,-80.250,0.00,0.00
'INV-30443,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944391806,,102.45,0.00,0.00
'INV-30478,07/04/2025,2315.37,0.00,2315.37,004 00033394982025,08/08/2025,'008944399042,,0.00,266.37,0.00
'INV-30409,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944383808,,102.45,0.00,0.00
'INV-30441,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944390793,,102.45,0.00,0.00
'INV-30439,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944389177,,102.45,0.00,0.00
'INV-30491,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944405335,,102.45,0.00,0.00
'INV-30445,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944393052,,102.45,0.00,0.00
'INV-30418,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944385564,,102.45,0.00,0.00
'INV-30487,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944402742,,102.45,0.00,0.00
'INV-30477,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944398452,,102.45,0.00,0.00
'INV-30442,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944391491,,102.45,0.00,0.00
'INV-30464,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944396957,,102.45,0.00,0.00
'INV-30471,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944398104,,102.45,0.00,0.00
'INV-30408,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944383715,,102.45,0.00,0.00
'INV-30417,07/04/2025,2151.45,0.00,2151.45,004 00033394982025,08/08/2025,'008944385495,,102.45,0.00,0.00
'INV-30485,07/04/2025,2315.37,0.00,2315.37,004 00033394982025,08/08/2025,'008944399958,,0.00,266.37,0.00
'INV-30440,07/04/2025,2315.37,0.00,2315.37,004 00033394982025,08/08/2025,'008944389596,,0.00,266.37,0.00
'INV-30466,07/04/2025,2315.37,0.00,2315.37,004 00033394982025,08/08/2025,'008944397179,,0.00,266.37,0.00
'INV-30484,07/04/2025,2315.37,0.00,2315.37,004 00033394982025,08/08/2025,'008944399933,,0.00,266.37,0.00
'INV-30444,07/04/2025,2315.37,0.00,2315.37,004 00033394982025,08/08/2025,'008944392465,,0.00,266.37,0.00
'INV-30489,07/04/2025,2315.37,0.00,2315.37,004 00033394982025,08/08/2025,'008944404517,,0.00,266.37,0.00
'INV-30430,07/04/2025,2315.37,0.00,2315.37,004 00033394982025,08/08/2025,'008944386628,,0.00,266.37,0.00
'RV010920310946,07/04/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'010920310946,'310946,-106.620,0.00,0.00
'INV-30380,07/03/2025,2315.37,0.00,2315.37,004 00033323592025,08/07/2025,'008944375127,,0.00,266.37,0.00
'INV-30371,07/03/2025,2315.37,0.00,2315.37,004 00033323592025,08/07/2025,'008944367472,,0.00,266.37,0.00
'INV-30356,07/03/2025,2315.37,0.00,2315.37,004 00033323592025,08/07/2025,'008944358979,,0.00,266.37,0.00
'INV-30340,07/03/2025,2315.37,0.00,2315.37,004 00033323592025,08/07/2025,'008944344293,,0.00,266.37,0.00
'INV-30354,07/03/2025,2315.37,0.00,2315.37,004 00033323592025,08/07/2025,'008944356613,,0.00,266.37,0.00
'RV011280618258,07/03/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'011280618258,'618258,-106.620,0.00,0.00
'INV-30375,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944370805,,102.45,0.00,0.00
'INV-30359,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944359931,,102.45,0.00,0.00
'INV-30377,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944372107,,102.45,0.00,0.00
'INV-30361,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944360199,,102.45,0.00,0.00
'INV-30383,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944378376,,102.45,0.00,0.00
'INV-30344,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944350977,,102.45,0.00,0.00
'INV-30342,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944348946,,102.45,0.00,0.00
'INV-30376,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944371425,,102.45,0.00,0.00
'INV-30378,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944372271,,102.45,0.00,0.00
'INV-30341,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944346884,,102.45,0.00,0.00
'INV-30343,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944350733,,102.45,0.00,0.00
'INV-30355,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944357725,,102.45,0.00,0.00
'INV-30385,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944381297,,102.45,0.00,0.00
'INV-30384,07/03/2025,2151.45,0.00,2151.45,004 00033323592025,08/07/2025,'008944381106,,102.45,0.00,0.00
'FD001520431275,07/03/2025,-233.590,0.00,-233.590,004 00032234342025,07/17/2025,'001520431275,,-11.120,0.00,0.00
'RV005430725978,07/03/2025,-2542.830,0.00,-2542.830,004 00032234342025,07/17/2025,'005430725978,'725978,-106.620,0.00,0.00
'RV008941110645,07/03/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'008941110645,'8948902919,-80.250,0.00,0.00
'RV005240756557,07/03/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'005240756557,'756557,-80.250,0.00,0.00
'INV-30349,07/03/2025,2315.37,0.00,2315.37,004 00033323592025,08/07/2025,'008944353902,,0.00,266.37,0.00
'INV-30358,07/03/2025,2315.37,0.00,2315.37,004 00033323592025,08/07/2025,'008944359428,,0.00,266.37,0.00
'INV-30381,07/03/2025,2315.37,0.00,2315.37,004 00033323592025,08/07/2025,'008944375933,,0.00,266.37,0.00
'INV-30382,07/03/2025,4302.90,0.00,4302.90,004 00033323592025,08/07/2025,'008944376390,,204.90,0.00,0.00
'RV001520431275,07/03/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'001520431275,'431275,-80.250,0.00,0.00
'INV-30379,07/03/2025,2335.86,0.00,2335.86,004 00033323592025,08/07/2025,'008944373487,,0.00,286.86,0.00
'INV-30362,07/03/2025,4302.90,0.00,4302.90,004 00033323592025,08/07/2025,'008944364639,,204.90,0.00,0.00
'RV005260973632,07/03/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005260973632,'973632,-106.620,0.00,0.00
'RV005430726102,07/03/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005430726102,'726102,-106.620,0.00,0.00
'RV002560653021,07/02/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'002560653021,'653021,-106.620,0.00,0.00
'FD002560653021,07/02/2025,-92.800,0.00,-92.800,004 00032234342025,07/17/2025,'002560653021,,-4.420,0.00,0.00
